time,user_id,username,text,retweets,favorites,tweet_hashtags,location,user_id_str
2020-02-24 20:54:55,535089349,DANOSOVIC,nice  car firefighter sticker  know allowed club  finest,0,0,#assholeparking #parking #parkingwars #parkingfail #parkinggarage #parkingspot,"new york, usa",535089349
2020-02-24 15:30:22,469358137,VivekVMehra,3 ways amp security,0,0,#parkinggarage,"chicago, il",469358137
2020-02-24 15:01:50,2410066170,ParqEx,3 ways amp security,0,0,#parkinggarage,united states,2410066170
2020-02-22 17:57:15,762174216032497664,kayconstsrvcs4u,repaired faulty swamp pump switch caused flooding shopping center s parking garage area,0,0,#pumps #firesafety #flooding #parkinggarage #shoppingcenter #repairs #emergencyservices,"woodland hills, los angeles",762174216032497664
2020-02-21 18:03:02,399803136,VisualParadise9,behind scenes video looks straight camera vs color grade,0,0,#musicvideoeditor #musicvideoshoot #parkinggarage #editing #videographer #booknow,"illinois, usa",399803136
2020-02-21 14:27:58,1947514915,DIMEOCONSTRUCT,team wrapping garrahy courthouse parking garage jwu,0,1,#flashbackfriday #parkinggarage #providence #completion #constructionmanager,"providence, ri",1947514915
2020-02-21 13:25:11,16959789,ltavaf,lit s living capitol hill hell garage parking columns cars  mix,0,0,#parking #carbumper #parkinggarage,,16959789
2020-02-20 17:02:08,16959789,ltavaf,lit s living capitol hill hell garage parking columns cars  mix,0,0,#parkinggarage #carbumper,,16959789
2020-02-19 09:00:42,1039871920827772928,innovasystemsg,technology based cameras allinone full integrations efficiency amp accuracy  looking visit us intertraffic amsterdam stand 03415,1,1,#accesscontrol #deeplearning #alpr #parkingmanagement #parkingsolutions #parkinggarage #accesscontrolsystem,"barcelona, spain",1039871920827772928
2020-02-19 08:13:11,635364273,rearsightapex,another quick shoot,0,0,#parkinggarage #mazda #mazdarx8 #rx8 #se3p #13b #renesis #rotary #rotarypower #mazdarotary #wankel #rotaryengine #wankelengine #mazdaweeb #rotarysquad #streetotaku #rotaryweeb #itasha #asukalangley #itasharx8 #weeb #asukalangleyshikinami #eva #evangelion,california,635364273
2020-02-19 02:46:45,795704576951336960,boring_cars,roll street wheels turned,0,0,#cars #carsofinsta #instacar #carstagram #boredom #fantasticcars #supercars247 #autogespot #instalove #instasize #gasstation #parkinglot #parkinggarage,,795704576951336960
2020-02-19 02:37:11,731914776390012928,J_DelProd,got ta stay florida sun,0,1,#s14 #s14zenki #240sx #savethezenkis #240sxgram #240sxnation #picoftheday #240sxlife #nissan #florida #parkinggarage,"florida, usa",731914776390012928
2020-02-19 00:20:55,1032030081974263808,btvgraffiti, gross doubly parking garage someone  thinking happy thoughts music guess,0,0,#btvgraffiti #graffiti #dust #winooski #parkinggarage #korn #slipknot #donewithwinter,burlington vt,1032030081974263808
2020-02-18 20:30:50,32646593,tncutt,city hall south came hurry city hall,0,0,#downtownnorfolk #cityofnorfolk #parkinggarage #norfolkva,"virginia beach, va",32646593
2020-02-18 19:01:31,826164640245751808,jkirestoration,parking garage goes lot wear tear year,0,0,#concrete #restoration #parkinggarage,"oklahoma city, ok",826164640245751808
2020-02-18 14:31:14,66376921,highpromonthly,blfr partners cape cod 5 hq,0,0,#capecod #energy #headquarters #healthandwellness #march20 #opening #parkinggarage #workplace,"pembroke, massachusetts usa",66376921
